Average_Lifespan (Years),Weight (kg),Height (cm),Speed (km/h),Endangered_Level (1-5),Cluster
59,865.12,232.66,25.03,3,1
67,452.46,359.8,27.97,5,1
54,17.65,393.57,77.03,3,0
32,2990.88,348.27,52.95,4,1
71,1398.41,238.9,52.19,2,2
79,417.37,114.6,19.72,5,1
33,2829.19,306.21,64.47,2,2
79,300.43,154.0,71.36,3,0
40,2555.19,368.77,9.79,3,1
37,336.63,151.99,43.87,4,1
11,4274.29,280.06,40.48,3,1
75,280.21,60.18,85.32,4,0
45,3402.38,178.4,30.66,3,1
24,385.63,151.22,51.04,5,0
52,2583.33,24.25,85.73,4,0
37,409.03,31.69,15.03,2,1
60,4512.69,394.91,78.65,4,0
7,1581.24,291.55,82.52,3,0
76,1739.92,341.49,38.62,5,0
40,417.45,204.99,71.08,3,0
10,3855.88,171.58,25.61,1,2
52,399.34,264.8,19.37,5,1
59,3834.11,219.45,11.26,3,1
34,1792.83,121.37,43.37,1,2
30,3791.64,206.78,18.73,2,1
38,1786.91,396.66,67.5,2,2
50,759.11,46.16,18.94,4,1
67,3112.38,263.27,97.05,1,2
17,889.46,271.94,33.36,5,1
66,4939.14,46.36,23.79,5,1
56,1724.03,358.28,96.73,1,2
72,3974.51,123.54,42.6,3,1
16,2905.2,235.96,17.57,5,1
67,3402.0,144.45,47.69,3,2
38,858.87,98.35,59.89,5,0
79,3865.57,31.92,20.47,5,1
32,976.93,203.25,9.38,4,1
15,158.41,203.81,60.14,1,2
21,4144.08,326.99,22.24,1,2
59,2408.24,179.72,85.02,3,0
19,3248.81,293.35,53.39,5,1
42,573.38,156.8,97.09,4,0
51,1647.58,94.58,11.96,1,2
59,1648.23,192.53,77.92,3,0
77,732.07,37.86,7.08,3,1
66,3550.44,211.39,18.51,5,1
14,106.3,110.68,73.96,3,0
60,3925.77,339.35,66.78,4,0
51,4921.1,343.95,27.54,1,2
51,3096.85,256.95,57.65,2,2
33,231.23,123.64,47.89,1,2
40,3375.34,137.24,71.48,1,2
8,390.93,286.43,44.7,3,1
30,1944.05,162.3,21.3,2,1
71,4568.49,97.52,17.42,5,1
26,33.21,213.77,34.05,2,2
31,2824.84,39.03,97.67,1,2
19,3036.27,354.51,34.8,5,1
7,554.41,333.35,31.91,2,2
10,707.45,81.12,21.4,3,1
22,546.22,334.86,19.97,2,1
75,3365.14,295.99,41.57,3,1
34,4191.73,85.65,32.79,1,2
7,4248.01,328.83,12.02,2,1
74,4072.55,293.54,22.92,3,1
7,27.14,303.47,92.9,5,0
46,625.35,325.75,41.0,1,2
28,3931.26,134.3,88.34,2,2
79,1071.13,116.08,54.35,4,0
55,3111.61,233.76,26.97,4,1
29,1348.67,105.97,52.81,2,2
52,107.38,241.88,90.3,1,2
24,1695.88,226.04,82.19,3,0
68,2368.67,77.54,90.49,5,0
45,341.5,287.84,53.92,5,0
72,623.67,99.06,16.1,4,1
34,2249.74,41.6,70.08,2,2
8,2827.88,63.83,43.06,1,2
71,3733.3,310.4,76.62,4,0
63,3601.46,189.89,93.09,1,2
40,4949.02,159.43,8.54,2,1
69,1485.72,370.08,84.69,5,0
10,499.71,360.22,46.55,4,1
65,1331.34,57.22,17.36,5,1
50,367.15,65.03,32.69,2,2
32,2915.76,67.73,36.9,2,2
9,4858.86,349.28,24.71,4,1
50,3246.41,206.42,18.34,5,1
57,287.09,113.03,60.27,4,0
72,3780.37,56.54,28.53,2,2
28,4066.13,126.96,17.69,1,2
6,1138.86,256.92,78.04,2,2
66,1143.73,293.77,42.82,4,0
55,4011.43,100.44,48.28,4,1
44,3245.01,247.03,75.04,3,0
25,3729.91,27.66,31.05,5,1
31,1819.88,205.53,65.46,1,2
31,1831.37,321.51,17.38,2,1
45,2309.5,308.94,17.58,4,1
41,4058.95,134.59,67.42,5,0
59,1576.5,386.34,88.62,1,2
56,4334.07,102.55,21.76,3,1
36,368.16,256.22,13.27,5,1
51,175.74,219.11,82.92,4,0
54,2692.93,383.98,44.91,3,1
32,1142.92,398.08,6.06,1,2
30,4491.44,223.54,66.41,1,2
30,4033.49,23.13,6.29,3,1
36,496.34,376.08,24.85,3,1
73,1423.53,187.1,51.14,5,0
52,3429.11,323.8,99.65,1,2
37,4808.62,130.22,82.83,5,0
78,4608.2,181.87,33.74,2,2
77,1373.1,370.88,29.65,5,1
68,2660.95,208.52,78.71,4,0
21,3392.99,335.82,39.7,1,2
48,255.51,67.98,68.45,4,0
34,48.12,306.34,16.24,2,1
78,4123.53,30.52,47.9,5,0
42,936.44,175.94,98.33,4,0
7,2367.55,165.79,83.82,5,0
57,3932.83,148.23,66.17,3,2
27,4294.15,362.57,32.6,5,1
67,2850.5,34.59,73.98,5,0
15,3337.5,309.39,17.68,4,1
7,1049.42,149.52,35.49,4,1
46,638.61,103.54,51.86,2,2
33,1388.54,337.18,54.43,4,0
61,2112.89,74.26,64.82,2,2
45,2848.39,318.8,19.12,4,1
61,3672.11,34.34,69.43,1,2
26,441.27,142.77,15.47,5,1
14,3687.17,376.49,28.61,2,2
49,3116.03,365.9,54.22,4,0
38,1673.92,251.8,64.15,4,0
40,4526.51,362.05,66.13,4,0
14,2188.41,303.35,85.49,3,0
73,495.63,371.26,64.95,2,0
36,2971.02,164.79,76.31,1,2
51,4699.52,198.1,80.9,3,0
10,4792.89,27.64,91.53,3,2
15,4707.0,265.75,71.72,1,2
60,1226.29,358.68,39.8,1,2
53,4621.44,271.7,91.81,2,2
45,1251.03,397.54,59.15,1,2
74,3177.92,309.87,99.4,4,0
38,4667.41,390.5,34.19,1,2
50,3742.45,366.43,79.1,1,2
57,1284.17,269.14,48.31,3,0
22,1531.86,68.79,85.44,2,2
43,3057.46,251.97,74.25,1,2
68,1412.92,321.84,8.54,5,1
5,880.74,36.25,69.57,4,0
13,515.17,308.85,64.2,5,0
29,4893.1,61.16,67.25,4,0
45,950.15,337.42,32.94,3,1
27,1096.77,379.36,60.87,2,2
64,4487.34,399.01,72.89,1,2
78,1751.8,53.67,92.77,1,2
54,4854.46,179.53,67.19,3,2
25,2555.45,167.06,23.66,1,2
79,2149.7,40.19,73.17,4,0
78,1906.8,330.81,8.48,1,2
44,2628.38,359.23,97.7,2,2
32,953.55,170.07,83.07,5,0
25,3784.01,358.91,92.56,5,0
55,2566.79,329.73,76.02,2,2
36,3742.67,140.99,36.4,5,1
68,2204.61,99.93,39.71,3,1
70,511.69,93.03,69.95,4,0
55,2999.2,71.95,9.37,3,1
44,4470.98,263.33,51.01,2,2
40,3323.8,373.48,79.4,5,0
52,4302.11,189.75,9.56,2,1
7,1090.29,329.32,36.44,4,1
12,2383.97,173.9,17.68,1,2
44,4963.12,30.0,72.39,3,2
54,4004.84,299.4,29.96,5,1
26,718.69,337.05,29.17,1,2
76,1416.45,101.93,25.7,5,1
44,2368.02,179.03,16.44,3,1
73,4110.78,327.15,55.79,2,2
76,2437.2,245.07,66.85,4,0
28,2348.27,37.81,92.47,3,0
67,2874.06,209.09,22.31,5,1
79,1232.73,166.09,78.54,5,0
8,3219.43,380.72,28.44,5,1
60,891.58,185.4,75.97,4,0
26,2219.55,20.84,6.11,1,2
21,2892.47,120.92,57.97,3,2
73,4040.23,244.0,90.11,3,0
24,4950.41,43.91,46.97,2,2
74,4910.43,163.65,7.73,1,2
45,1534.03,212.63,40.69,1,2
78,4583.0,32.22,96.07,4,0
11,4549.98,258.64,85.24,2,2
40,1367.62,107.94,43.08,3,1
23,4196.31,203.5,55.12,5,1
72,50.38,233.67,74.62,5,0
45,223.46,201.46,56.43,5,0
26,4993.12,38.0,11.04,1,2
52,1867.41,152.65,46.98,2,2
25,3329.34,87.7,11.71,1,2
34,2136.19,168.92,81.8,5,0
50,3776.81,212.51,65.52,3,2
68,160.67,353.88,85.99,5,0
39,1928.32,146.3,16.96,2,1
18,345.47,146.02,15.53,3,1
69,4512.47,308.84,94.65,4,0
77,1598.39,168.33,23.04,3,1
53,3486.14,357.83,10.59,5,1
28,4791.85,362.83,7.43,2,1
61,3383.14,237.51,53.06,5,0
27,1923.98,373.79,24.28,5,1
61,1425.71,250.06,31.81,4,1
50,2158.04,330.94,59.36,5,0
41,526.61,302.72,77.51,4,0
29,2530.31,58.85,64.18,2,2
68,3979.16,170.03,11.04,5,1
78,1722.7,297.82,68.18,4,0
73,4891.83,293.95,98.48,1,2
63,3722.65,115.94,11.74,4,1
75,3634.41,328.72,61.16,5,0
54,1599.02,87.64,86.1,1,2
44,3987.39,210.38,58.38,3,2
5,4807.68,194.15,8.31,4,1
57,4893.57,359.06,38.03,1,2
67,3626.25,44.24,62.05,4,0
67,2895.78,301.84,18.17,5,1
65,2734.3,80.38,43.88,2,2
16,860.37,250.84,50.72,2,2
50,4361.68,327.95,76.98,1,2
56,3632.8,352.14,56.96,2,2
24,2581.42,179.93,18.72,3,1
51,2807.38,56.87,97.1,1,2
18,4260.03,179.29,32.68,4,1
25,4194.91,44.71,76.77,2,2
11,702.5,369.88,34.08,4,1
10,907.08,309.44,67.22,3,0
73,1831.06,244.23,50.48,4,0
21,1756.28,168.02,7.63,5,1
36,2651.48,230.81,10.47,5,1
38,4938.07,391.43,6.8,3,1
18,779.8,291.5,45.64,3,1
78,3261.69,304.93,78.76,3,0
30,3590.84,131.47,87.55,1,2
75,985.56,242.07,80.94,4,0
35,4891.23,79.29,28.47,3,1
52,4740.3,53.96,55.55,1,2
42,881.97,343.83,83.87,1,2
54,3207.01,312.17,45.73,4,1
51,2621.04,221.56,9.33,1,2
35,2186.42,333.14,39.3,4,1
39,1676.88,125.12,93.91,3,0
12,1307.69,238.04,69.37,1,2
6,4653.06,324.35,24.31,3,1
63,1433.13,44.32,31.71,4,1
69,460.45,107.66,50.52,3,0
46,1970.44,64.16,14.55,4,1
52,1061.99,279.44,83.31,5,0
72,4323.61,35.93,73.12,2,2
78,1063.95,202.86,96.62,1,2
68,3162.43,209.08,10.39,3,1
31,3683.72,71.3,12.53,3,1
73,364.72,66.11,27.7,3,1
70,1398.86,90.55,40.93,1,2
68,2002.56,374.27,5.84,3,1
38,2934.98,155.78,43.8,3,1
16,4991.14,158.07,73.92,1,2
24,4569.52,58.28,64.13,5,0
79,4223.81,256.46,68.54,5,0
17,4756.35,377.19,98.59,3,0
6,1377.52,345.24,16.09,4,1
73,435.67,111.54,28.23,4,1
79,3987.6,67.71,8.97,2,1
22,3949.55,65.07,97.58,1,2
74,3716.74,339.36,82.53,3,0
38,3429.74,271.48,40.27,5,1
75,1193.04,79.71,42.56,2,2
76,158.06,96.43,29.54,2,2
31,2850.31,309.25,36.57,4,1
55,4169.39,28.47,16.61,4,1
10,1768.24,58.27,29.12,4,1
13,3668.53,182.57,30.49,3,1
61,1208.41,278.58,97.11,4,0
35,3306.22,238.97,95.78,1,2
57,3986.4,245.87,11.9,4,1
72,3748.04,243.82,49.81,5,0
46,3852.16,226.51,34.72,2,2
16,3520.61,90.85,69.78,4,0
44,3298.09,64.3,74.9,1,2
45,2499.27,328.93,87.55,1,2
42,3510.46,221.53,62.6,2,2
25,1921.09,276.97,10.31,3,1
13,460.48,118.25,25.07,5,1
8,3195.24,53.43,67.75,3,2
53,1854.38,204.41,15.3,4,1
22,2460.85,205.87,14.54,1,2
79,165.63,276.99,94.0,3,0
18,884.91,181.44,45.84,2,2
35,3857.96,364.43,14.64,3,1
40,4868.93,109.52,24.06,3,1
37,4273.82,345.41,92.86,1,2
58,1471.11,180.88,42.04,5,0
24,1088.03,240.69,24.52,1,2
25,3543.13,36.53,91.62,1,2
14,3127.41,235.39,45.02,5,1
16,4881.89,209.75,47.78,1,2
55,677.63,304.45,22.83,3,1
55,1673.27,22.0,14.78,5,1
40,2138.31,109.7,97.75,5,0
52,4995.47,193.54,46.58,1,2
44,3450.26,267.24,86.94,5,0
5,610.16,161.8,93.44,5,0
78,2354.23,300.75,70.78,5,0
57,3639.7,196.92,8.6,4,1
63,3197.28,365.38,73.13,1,2
27,620.27,217.91,76.35,1,2
17,3045.44,304.13,99.83,5,0
40,2186.41,228.14,39.79,2,2
48,3721.03,157.24,42.23,3,1
18,3059.71,203.53,48.92,4,1
59,56.6,365.82,85.54,5,0
65,272.27,125.07,92.14,4,0
29,663.53,311.65,9.59,3,1
12,2061.3,383.94,81.03,5,0
74,3667.48,91.84,53.99,5,0
47,2390.99,188.1,53.12,3,2
61,278.43,206.35,78.66,5,0
58,4303.94,173.17,54.37,1,2
51,331.56,349.25,92.1,2,0
52,3325.81,303.5,38.45,4,1
78,3002.88,44.01,19.69,3,1
55,2541.39,316.19,52.6,3,0
24,1195.41,291.08,45.36,3,1
28,4932.72,175.86,69.51,4,0
79,743.59,112.13,73.59,2,0
65,2043.21,316.76,62.05,2,2
15,847.02,326.57,41.12,3,1
46,1023.85,313.05,7.85,5,1
33,739.31,98.06,17.81,4,1
60,1032.96,397.89,65.07,5,0
9,1752.82,40.84,32.24,3,1
16,3180.31,36.01,31.17,3,1
45,354.11,63.06,81.72,3,0
30,354.68,369.69,87.67,1,2
46,1103.46,367.84,47.43,5,0
44,1475.24,79.86,34.99,4,1
45,2040.9,325.34,45.94,1,2
72,2337.91,115.46,96.75,1,2
52,2283.81,225.52,30.43,1,2
15,3931.11,158.08,90.9,5,0
36,4055.52,340.14,9.24,1,2
18,1508.29,353.8,29.43,1,2
76,2878.57,145.26,46.84,4,0
47,4639.18,338.33,6.4,2,1
24,3434.2,373.18,73.61,3,2
69,724.86,298.06,75.46,5,0
21,4843.82,152.47,40.48,5,1
59,2780.1,161.97,56.65,5,0
43,301.19,95.63,86.78,5,0
74,2691.48,287.69,34.26,3,1
29,4856.0,35.8,20.7,2,2
77,2840.4,117.36,86.94,2,2
74,1057.79,230.35,18.41,2,1
55,2815.69,71.65,96.02,3,0
41,93.74,311.39,94.67,2,0
66,4400.16,254.35,79.32,4,0
37,4581.47,200.7,14.13,4,1
25,723.32,349.17,7.54,1,2
51,4754.25,66.97,94.12,1,2
15,4568.58,74.79,43.88,3,2
21,1665.84,120.75,19.64,2,1
70,4972.88,89.04,45.11,4,1
16,396.46,70.57,21.98,5,1
47,2778.89,160.2,54.08,2,2
65,4084.89,24.39,37.61,4,1
38,4299.37,245.01,87.22,1,2
36,4423.75,145.72,7.03,4,1
75,3790.17,176.96,74.97,2,2
73,134.94,371.63,59.84,4,0
50,2171.22,321.94,13.02,4,1
20,2628.5,357.31,19.22,5,1
57,4415.87,310.11,84.95,4,0
39,234.12,371.94,22.97,5,1
32,962.2,235.21,59.7,1,2
9,1225.43,153.32,93.17,4,0
25,374.7,93.64,72.76,3,0
43,4382.73,355.77,42.88,2,2
57,2249.92,108.6,88.65,3,0
10,2832.53,70.5,28.85,1,2
48,1887.14,265.53,83.97,1,2
45,2528.58,60.91,54.94,5,0
47,3063.19,338.17,86.56,4,0
29,2052.96,236.85,72.2,2,2
22,2721.66,173.56,14.34,4,1
67,289.52,136.66,5.5,2,1
19,1581.31,56.78,49.44,4,1
9,2954.13,350.31,60.36,1,2
55,3474.04,272.56,11.67,4,1
65,1586.16,115.53,47.38,2,2
54,3924.85,145.59,96.69,2,2
7,2635.33,65.6,73.91,2,2
70,4268.58,273.0,30.61,1,2
18,3035.45,302.35,57.94,4,1
10,4232.67,289.83,43.86,1,2
29,1463.46,238.37,48.16,2,2
58,1413.44,219.61,44.67,5,0
15,3076.16,308.57,23.56,2,1
26,827.46,83.7,69.13,5,0
27,468.03,317.64,25.44,3,1
57,1950.32,214.43,61.83,4,0
67,4746.97,290.93,78.32,1,2
65,3344.97,288.1,51.92,3,0
10,3489.43,397.71,33.78,5,1
44,557.48,266.23,60.41,1,2
6,2829.85,350.45,39.46,1,2
77,703.55,32.85,92.97,5,0
9,2985.14,259.58,57.18,2,2
33,1887.4,282.01,95.08,3,0
75,737.38,305.15,90.95,3,0
20,3018.92,91.78,52.74,4,1
13,2245.6,203.31,84.97,4,0
62,4177.28,362.05,90.78,4,0
6,1267.69,186.79,41.34,2,2
54,3427.36,382.28,65.41,1,2
37,680.69,243.94,37.41,2,2
55,3432.85,208.62,65.02,1,2
35,4252.11,186.34,50.66,2,2
32,3050.14,277.63,34.78,2,2
56,698.2,274.9,5.97,2,1
73,1342.23,144.36,45.07,5,0
39,1465.87,182.74,78.49,4,0
31,2282.4,84.63,5.62,5,1
53,4655.64,273.32,39.87,3,1
40,2297.02,51.1,44.35,5,1
48,3445.45,344.51,86.58,4,0
45,4831.43,227.48,48.39,1,2
71,1433.64,171.81,54.41,2,2
43,2705.23,41.72,14.81,3,1
38,1684.27,110.89,95.06,2,2
71,4231.01,70.08,85.84,1,2
74,865.17,306.5,71.07,1,2
56,586.38,253.82,28.47,4,1
26,229.95,378.25,44.14,2,2
17,3066.8,337.01,19.5,4,1
75,891.28,219.58,67.08,3,0
76,3370.22,338.56,12.07,2,1
51,18.87,193.84,91.23,3,0
50,3586.34,216.01,63.83,4,0
78,2159.18,254.09,74.58,5,0
26,2706.22,99.31,36.98,3,1
52,866.93,167.15,91.53,5,0
38,2660.77,237.77,79.43,5,0
41,1759.81,99.46,19.57,1,2
60,1709.34,255.28,22.6,2,1
